categoria,pergunta,resposta_correta,resposta_intuitiva,origem
originais,"Um taco e uma bola custam $1,10 no total. O taco costa um dólar a mais que a bola. Quanto custa a bola?",5 centavos,10 centavos,2005
originais,"Se 5 máquinas levam 5 minutos para produzir 5 ferramentas, quanto tempo levaria para que 100 máquinas produzissem 100 ferramentas?",5 minutos,100 minutos,2005
originais,"Em um lago há um canteiro de vitórias-régias. Todo dia esse canteiro dobra de tamanho. Se o canteiro leva 48 dias para cobrir o lago inteiro, quanto tempo levaria para que ele cobrisse metade do lago?",47 dias,24 dias,2005
originais,"Se João consegue beber um galão de água em 6 dias e Maria consegue beber um galão de água em 12 dias, quanto tempo levaria para que os dois bebessem um galão de água juntos?",4 dias,9 dias,2014
originais,José recebeu a 15ª maior nota e a 15ª menor nota de sua turma. Quantos alunos fazem parte desta turma?,29 alunos,30 alunos,2014
originais,"Um homem compra um porco por R$60, vende-o por R$70, compra-o de volta por R$80, e vende-o de vez por R$90. Quanto lucro ele obteve?",20,10,2014
originais,"Simon decidiu investir R$8000 no mercado de ações em um dia no início de 2008; Seis meses após o investimento, no dia 17 de Julho, as ações que ele havia comprado haviam caído 50%. Para a sorte de Simon, de 17 de Julho até 17 de Outubro, as ações que ele havia comprado subiram 75%. Nesse ponto, Simon: A. Está no mesmo ponto em que começou. B. Ganhou dinheiro. C. Perdeu dinheiro.",C (R$7000),B,2014
originais,"Se você está participando de uma corrida e ultrapassa a pessoa que está em segundo lugar, qual é a sua posição?",Segundo,Primeiro,2016
originais,Um fazendeiro tinha 15 ovelhas e todas menos oito morreram. Quantas ovelhas sobraram?,8,7,2016
originais,O pai de João tinha três filhos. Os dois primeiros se chamavam Abril e Maio. Qual o nome do terceiro filho?,João,Junho,2016
originais,"Quantos metros cúbicos de terra tem um buraco que possui 3 metros de profundidade, 3 metros de largura e 3 metros de comprimento?",Nenhum,27,2016
novas,"Um espelho e um quadro custam R$50,80 no total. O espelho custa quinze reais a mais que o quadro. Quanto custa o quadro?",17.9 reais,35.8 reais,2025
novas,"Se um urso de pelúcia custa 20 reais a mais que uma boneca e o urso e a boneca custam 100 reais ao todo, quanto custa a boneca?",40 reais,80 reais,2025
novas,"Se 12 escritores levam 12 dias para escrever 12 livros, quanto tempo levaria para 70 escritores escreverem 70 livros?",12 dias,70 dias,2025
novas,São necessárias 3 horas para que 3 alfaiates costurem três vestidos. Quanto tempo levaria para que 16 alfaiates costurassem 16 vestidos?,3 horas,16 horas,2025
novas,"Um vírus está se espalhando por uma cidade. Toda semana a área contaminada dobra de tamanho. Se o vírus demora 30 semanas para contaminar a cidade inteira, quanto tempo levaria para que o vírus contaminasse metade da cidade?",29 semanas,15 semanas,2025
novas,"Se uma casa inteira foi submersa em água em 24 horas, com o nível da água dobrando a cada hora, quantas horas foram necessárias para submergir metade da casa?",23 horas,12 horas,2025
novas,"Se Anna consegue pintar uma sala em 3 horas e Bob consegue pintar uma sala em 6 horas, quantas horas os dois levariam para pintar uma sala juntos?",2 horas,4.5 horas,2025
novas,Tina pode construir uma casa na árvore em 12 dias e o irmão dela pode construir uma casa na árvore em 24 dias. De quanto tempo eles precisariam para construir uma casa na árvore juntos?,8 dias,18 dias,2025
novas,Um cavalo participa de uma corrida e termina ao mesmo tempo na quinta melhor e quinta pior posição. Quantos cavalos participaram desta corrida?,9,10,2025
novas,Pedro é um cantor que ficou tanto na 12ª melhor quanto na 12ª pior colocação em um concurso de canto. Quantas pessoas estavam participando?,23,24,2025
novas,Uma mulher compra um anel por R$90 e o vende por R$105. Após um tempo ela o compra de volta por R$120 e o vende por R$135. Quanto dinheiro ela ganhou?,30 reais,15 reais,2025
novas,Camila comprou uma casa por 45000 reais e a vendeu por 52500 reais. Anos depois ela recomprou a casa por 60000 reais e a revendeu por 67500 reais. Quanto dinheiro ela ganhou?,15000 reais,7500 reais,2025
novas,"Bianca investiu 12000 dólares em uma empresa em janeiro de 2010. Quatro meses depois as ações que ela comprou haviam caído 50%. Nos oito meses seguintes, as ações compradas subiram 80%. Nesse momento, Bianca tem: A. o mesmo valor que em janeiro. B. mais dinheiro que em janeiro. C. menos dinheiro que em janeiro.",C ($10800),B,2025
novas,"Gabriel decidiu investir R$20000 em criptomoedas em julho de 2020. Seis meses depois, a criptomoeda que ele comprou havia caído 60%. Nos dez meses seguintes, a criptomoeda que ele comprou subiu 90%. Nesse momento, Gabriel: A. tem o mesmo valor que no início. B. ganhou dinheiro. C. perdeu dinheiro.",C (R$15200),B,2025
novas,"Maria está competindo em natação nas Olimpíadas. Ela acaba de passar a pessoa que estava em terceiro lugar, qual é sua colocação atual?",terceiro lugar,segundo lugar,2025
