categoria,pergunta,resposta_correta,resposta_intuitiva,origem
originais,Un bate y una pelota cuestan $1.10 en total. El bate cuesta un dólar más que la pelota. ¿Cuánto cuesta la pelota?,5 centavos,10 centavos,2005
originais,"Si 5 máquinas tardan 5 minutos en hacer 5 objetos, ¿cuánto tiempo tardarían 100 máquinas en hacer 100 objetos?",5 minutos,100 minutos,2005
originais,"En un lago hay un grupo de nenúfares. Cada día, el grupo dobla su tamaño. Si tarda 48 días en cubrir todo el lago, ¿cuánto tiempo tardaría en cubrir la mitad?",47 días,24 días,2005
originais,"Si Juan puede beber un barril de agua en 6 días y María puede beber un barril en 12 días, ¿cuánto tiempo tardarían en beber un barril juntos?",4 días,9 días,2014
originais,Jerry recibió tanto la 15ª calificación más alta como la 15ª más baja de la clase. ¿Cuántos estudiantes hay en la clase?,29 estudiantes,30 estudiantes,2014
originais,"Un hombre compra un cerdo por £60, lo vende por £70, lo vuelve a comprar por £80 y lo vende finalmente por £90. ¿Cuánto dinero ganó?",20,10,2014
originais,"Simón decidió invertir £8,000 en la bolsa a principios de 2008. Seis meses después, el 17 de julio, sus acciones habían bajado un 50%. Afortunadamente, del 17 de julio al 17 de octubre, las acciones subieron un 75%. En este punto, Simón: A. quedó igual. B. está mejor que al principio. C. perdió dinero.",C (£7000),B,2014
originais,"Si estás en una carrera y adelantas a la persona que va en segundo lugar, ¿en qué lugar estás?",2.º,1.º,2016
originais,Un granjero tenía 15 ovejas y murieron todas menos 8. ¿Cuántas quedan?,8,7,2016
originais,El padre de Emily tenía tres hijas. Las dos primeras se llaman Abril y Mayo. ¿Cómo se llama la tercera hija?,Emily,Junio,2016
originais,¿Cuántos pies cúbicos de tierra hay en un hoyo de 3 pies de profundidad x 3 pies de ancho x 3 pies de largo?,Nada,27,2016
novas,Un espejo y un cuadro cuestan $50.80 en total. El espejo cuesta quince dólares más que el cuadro. ¿Cuánto cuesta el cuadro?,17.9 dólares,35.8 dólares,2025
novas,"Si un oso de peluche cuesta 20 euros más que una muñeca y el oso de peluche y la muñeca cuestan 100 euros en total, ¿cuál es el precio de la muñeca?",40 euros,80 euros,2025
novas,"Si 12 escritores tardan 12 días en escribir 12 libros, ¿cuánto tiempo tardarían 70 escritores en escribir 70 libros?",12 días,70 días,2025
novas,Tres sastres tardan 3 horas en coser 3 vestidos. ¿Cuánto tiempo les tomaría a 16 sastres coser 16 vestidos?,3 horas,16 horas,2025
novas,"Un virus se está propagando por una ciudad. Cada semana, el área contaminada dobla su tamaño. Si el virus tarda 30 semanas en contaminar toda la ciudad, ¿cuánto tiempo tardaría en contaminar la mitad?",29 semanas,15 semanas,2025
novas,"Si una casa entera quedó sumergida bajo el agua en 24 horas, y el nivel del agua se duplicaba cada hora, ¿cuántas horas tardó en sumergirse la mitad de la casa?",23 horas,12 horas,2025
novas,"Si Anna puede pintar una habitación en 3 horas y Bob puede pintar una habitación en 6 horas, ¿cuántas horas tardarían en pintar una habitación juntos?",2 horas,4.5 horas,2025
novas,Tina puede construir una casa en un árbol en 12 días y su hermano puede construirla en 24 días. ¿Cuánto tiempo tardarían en construir una casa en un árbol juntos?,8 días,18 días,2025
novas,Un caballo corre en una carrera y queda tanto en la 5.ª posición más alta como en la 5.ª más baja. ¿Cuántos caballos hay en la carrera?,9,10,2025
novas,Pedro es un cantante que quedó tanto en la 12.ª posición más alta como en la 12.ª más baja en un concurso de canto. ¿Cuántas personas participaron?,23,24,2025
novas,Una mujer compra un anillo por $90 y lo vende por $105. Luego lo vuelve a comprar por $120 y después lo vende por $135. ¿Cuánto dinero ganó?,30,15,2025
novas,"Camila compró una casa por 45,000 dólares y la vendió por 52,500 dólares. Años después la volvió a comprar por 60,000 dólares y la revendió por 67,500 dólares. ¿Cuánto dinero ganó?","15,000 dólares","7,500 dólares",2025
novas,"Bianca invirtió $12,000 en una empresa en enero de 2010. Cuatro meses después, las acciones que compró bajaron un 50%. En los siguientes ocho meses, las acciones subieron un 80%. En este punto, Bianca: A. recuperó su inversión. B. tiene más dinero que en enero. C. perdió dinero.","C ($10,800)",B,2025
novas,"Gabriel decidió invertir R$20,000 en criptomonedas en julio de 2020. Seis meses después, las criptomonedas que compró bajaron un 60%. En los siguientes diez meses, las criptomonedas subieron un 90%. En este punto, Gabriel: A. tiene la misma cantidad de dinero que en julio de 2020. B. ganó dinero. C. perdió dinero.","C (R$15,200)",B,2025
novas,"María está compitiendo en natación en los Juegos Olímpicos. Acaba de adelantar a la persona que iba en 3.er lugar, ¿en qué lugar está?",3.er,2.º,2025
novas,Actualmente estás en el 5.º lugar de un maratón de ciclismo. ¿En qué lugar estarás si adelantas a la persona que va en 4.º lugar?,4.º,3.er,2025
novas,¿Cuántas barras de chocolate le quedarían a James después de comprar 9 barras y comerse todas menos 3?,3,6,2025
novas,Un niño tenía 20 juguetes y los perdió todos menos 12. ¿Cuántos juguetes le quedan?,12,8,2025
novas,"El dueño de Fluffy tiene tres hámsteres como mascotas, no tiene otras mascotas. Los dos primeros se llaman Do y Re. ¿Cómo se llama el tercer hámster?",Fluffy,Mi,2025
novas,"El dueño de Whiskers tiene cuatro gatos, no tiene otras mascotas. Los tres primeros se llaman Eeny, Meeny y Miny. ¿Cómo se llama el cuarto gato?",Whiskers,Mo/Moe,2025
novas,"¿Cuántos metros cúbicos de tierra habría en un hoyo de 4 metros de profundidad, 2 metros de largo y 3 metros de ancho?",Nada,24,2025
novas,"Un hoyo tiene 2 pies de ancho, 10 pies de profundidad y 5 pies de largo. ¿Cuántos pies cúbicos de arena hay en él?",Nada,100,2025
originais_ruidos_espanhol,"Durante la Navidad, un bate premium se vendió por $2.00, y la diferencia de precio entre ese bate y una pelota llegó a $1.10. Mientras tanto, en la tienda de deportes local, un bate y una pelota estándar cuestan $1.10 en total. El bate estándar cuesta un dólar más que la pelota. ¿Cuánto cuesta la pelota estándar? Sabiendo esto, considera también que en el Black Friday, el bate premium apareció por $1.50 y la diferencia entre bate y pelota fue de $0.90, y que en la tienda de enfrente, una pelota similar cuesta $0.40.",5 centavos,10 centavos,2005
originais_ruidos_espanhol,"En la fábrica competidora, 5 máquinas tardan 10 minutos en operar, con un multiplicador de producción en relación al tiempo de 2x. Sin embargo, en la fábrica principal, si 5 máquinas tardan 5 minutos en hacer 5 objetos, ¿cuánto tiempo tardarían 100 de estas máquinas en hacer 100 objetos? Considera también que durante el turno de noche, la cantidad producida fue de 50 objetos, y que con el modelo antiguo, 100 máquinas operaron por 120 minutos, creando una diferencia de 110 minutos en comparación con el tiempo operativo de 5 máquinas.",5 minutos,100 minutos,2005
originais_ruidos_espanhol,"En el lago Norte, el tamaño inicial del grupo de nenúfares era de 5m², con una tasa de crecimiento que llegó a ser el triple que la del lago Sur durante el verano. Mientras tanto, en el lago Este, hay un grupo de nenúfares. Cada día, el grupo dobla su tamaño. Si tarda 48 días en cubrir todo el lago Este, ¿cuánto tiempo tardaría en cubrir la mitad? A modo de comparación, se sabe también que en el lago Sur, la cobertura total tomó 30 días y la de la mitad tomó 15 días, resultando en una diferencia de 15 días entre ambas marcas.",47 días,24 días,2005
originais_ruidos_espanhol,"En el campamento de verano, la velocidad de Juan para terminar un barril fue de 4 días, haciendo que la diferencia entre la velocidad de María y la suya fuera exactamente de 4 días. Sin embargo, en el campamento base, si Juan puede beber un barril de agua en 6 días y María puede beber un barril en 12 días, ¿cuánto tiempo tardarían en beber un barril juntos? Ten en cuenta que en el campamento de invierno, la velocidad de María fue de 8 días, haciendo que la proporción de la velocidad de María con respecto a la de Juan fuera de 2x, y que el año pasado bebieron un total de 3 barriles.",4 días,9 días,2014
originais_ruidos_espanhol,"En el examen de matemáticas, la calificación más alta de Jerry fue el 10.º lugar y su calificación más baja también fue el 10.º, lo que significa que la suma de sus lugares más alto y más bajo fue 20. Por el contrario, en su clase de historia, Jerry recibió tanto la 15ª calificación más alta como la 15ª más baja. ¿Cuántos estudiantes hay en la clase de historia? Además, ten en cuenta que en la clase de física había 45 estudiantes en total, y la diferencia en el número de estudiantes entre física y matemáticas el semestre pasado fue de 26.",29 estudiantes,30 estudiantes,2014
originais_ruidos_espanhol,"En el mercado local, la primera compra de un cerdo fue por £50 y la primera venta por £55, rindiendo una ganancia de £5 entre la primera venta y compra. Sin embargo, en la subasta anual de ganado, un hombre compra un cerdo por £60, lo vende por £70, lo vuelve a comprar por £80 y lo vende finalmente por £90. ¿Cuánto dinero ganó en estas negociaciones específicas? Considera también que en la feria del condado su ganancia total fue de £15, y la diferencia entre la ganancia de la feria del condado y la ganancia del mercado local el mes pasado fue de £10.",20,10,2014
originais_ruidos_espanhol,"En el año 2007, una inversión inicial de £10,000 vio una proporción de inversión inicial a valor final de 1.5 después de un ciclo de mercado impredecible donde la diferencia entre la recuperación y la caída fue del 20%. Mientras tanto, Simón decidió invertir £8,000 en el Fondo Tecnológico a principios de 2008. Seis meses después, el 17 de julio, las acciones del fondo que había comprado habían bajado un 50%. Afortunadamente, del 17 de julio al 17 de octubre, las acciones que había comprado subieron un 75%. En este punto, Simón: A. quedó igual en el fondo. B. está mejor que al principio. C. perdió dinero. Ten en cuenta que durante la caída de agosto el porcentaje de caída fue del 40% y la subsecuente recuperación de noviembre trajo un porcentaje de recuperación del 60%.",C (£7000),B,2014
originais_ruidos_espanhol,"En el maratón de la ciudad, de un total de 50 corredores, la diferencia entre el total de corredores y tu posición actual era de 47. Sin embargo, si estás en el Campeonato Estatal de 5K y adelantas a la persona que va en segundo lugar, ¿en qué lugar estás? Recuerda que en el evento de velocidad, adelantar a la persona en la 3.ª posición significaba que tu posición actual era la 3.ª, resultando en un cambio de clasificación de 0 con respecto a la persona que acabas de adelantar.",2.º,1.º,2016
originais_ruidos_espanhol,"En la granja vecina, había 20 vacas inicialmente y 10 murieron, lo que significa que la diferencia entre las vacas iniciales y las vacas muertas fue de 10. Mientras tanto, en la Granja del Valle, un granjero tenía 15 ovejas y murieron todas menos 8. ¿Cuántas quedan en la Granja del Valle? Considera también que durante la tormenta de invierno, el número de cerdos sobrevivientes fue de 5, creando una proporción de cerdos sobrevivientes a vacas muertas de exactamente 0.5.",8,7,2016
originais_ruidos_espanhol,"El tío Bob tuvo 2 hijos en total, donde el mes de nacimiento del primer hijo fue junio y el del segundo hijo fue julio, lo que significa que la diferencia entre sus meses de nacimiento es de 1 mes. Por otro lado, en la familia directa de Emily, su padre tenía tres hijas. Las dos primeras se llaman Abril y Mayo. ¿Cómo se llama la tercera hija? Además, mirando todo el árbol genealógico, la suma de todas las hijas e hijos es igual a 5.",Emily,Junio,2016
originais_ruidos_espanhol,"Para el proyecto del patio trasero, un hoyo con una profundidad de 5 pies y un ancho de 2 pies generó un volumen total de 50 pies cúbicos. Sin embargo, ¿cuántos pies cúbicos de tierra hay en un hoyo en el sitio de construcción que tiene 3 pies de profundidad x 3 pies de ancho x 3 pies de largo? Nota que en el jardín delantero, el total de tierra removida fue de 10 pies cúbicos, y durante los trabajos de verano, la diferencia entre la profundidad del patio trasero y la profundidad del jardín delantero fue exactamente de 2 pies.",Nada,27,2016
